title,topic,difficulty,description,starter_code,solution,hint
Simulate an Expensive Task,Caching,Medium,"Create a cached function that waits for 3 seconds before returning ""Completed"". Display the returned value.",import streamlit as st\nimport time,"import streamlit as st\nimport time\n\n@st.cache_data\ndef expensive_task():\n time.sleep(3)\n return \""Completed\""\n\nst.write(expensive_task())",Use time.sleep() inside the cached function.
Cache API Data,Caching,Medium,Create a cached function that sends a GET request to https://httpbin.org/get using the requests library and returns the JSON response. Display the result.,import streamlit as st\nimport requests,"import streamlit as st\nimport requests\n\n@st.cache_data\ndef fetch_data():\n response = requests.get(\""https://httpbin.org/get\"")\n return response.json()\n\nst.write(fetch_data())",Cache network requests to avoid repeated API calls.
Cache a Machine Learning Model,Caching,Hard,"Create a function named load_model() decorated with @st.cache_resource. The function should return the string ""Model Loaded"". Display the returned value.",import streamlit as st,"import streamlit as st\n\n@st.cache_resource\ndef load_model():\n return \""Model Loaded\""\n\nst.write(load_model())",Use @st.cache_resource for long-lived resources.
Compare Cached and Non-Cached Functions,Caching,Hard,"Create one normal function and one cached function. Both should wait for 2 seconds before returning ""Done"". Call both functions and display their outputs.",import streamlit as st\nimport time,"import streamlit as st\nimport time\n\ndef normal_function():\n time.sleep(2)\n return \""Done\""\n\n@st.cache_data\ndef cached_function():\n time.sleep(2)\n return \""Done\""\n\nst.write(normal_function())\nst.write(cached_function())","One function uses caching, the other does not."
Cached Sales Dashboard,Caching,Hard,Create a cached function that returns a DataFrame containing Product and Sales columns. Display the DataFrame and a bar chart using the cached data.,import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\n@st.cache_data\ndef load_sales():\n return pd.DataFrame({\""Product\"":[\""A\"",\""B\"",\""C\""],\""Sales\"":[100,150,120]})\n\ndf = load_sales()\n\nst.dataframe(df)\nst.bar_chart(df.set_index(\""Product\""))",Call the cached function once and reuse the returned DataFrame.
Display a Metric,Advanced Components,Easy,"Display a metric labeled Total Sales with a value of ₹50,000.",import streamlit as st,"import streamlit as st\n\nst.metric(""Total Sales"", ""₹50,000"")",Use st.metric().
Metric with Delta,Advanced Components,Easy,"Display a metric labeled Revenue with a value of ₹75,000 and a delta of +12%.",import streamlit as st,"import streamlit as st\n\nst.metric(""Revenue"", ""₹75,000"", ""+12%"")",The third argument is the delta.
Create a Progress Bar,Advanced Components,Easy,Display a progress bar showing 60% completion.,import streamlit as st,import streamlit as st\n\nst.progress(60),Progress values range from 0 to 100.
Update a Progress Bar,Advanced Components,Medium,Create a progress bar that gradually updates from 0% to 100%.,import streamlit as st\nimport time,import streamlit as st\nimport time\n\nprogress = st.progress(0)\n\nfor i in range(101):\n progress.progress(i)\n time.sleep(0.02),Store the progress bar in a variable.
Use a Spinner,Advanced Components,Medium,Display a spinner with the message Loading data... for 3 seconds before displaying Completed!.,import streamlit as st\nimport time,"import streamlit as st\nimport time\n\nwith st.spinner(""Loading data...""):\n time.sleep(3)\n\nst.success(""Completed!"")",Use with st.spinner():.
Display a Toast Notification,Advanced Components,Medium,"Create a button labeled Save. When clicked, display a toast notification saying Data Saved Successfully!.",import streamlit as st,"import streamlit as st\n\nif st.button(""Save""):\n st.toast(""Data Saved Successfully!"")",Use st.toast().
Download a Text File,Advanced Components,Medium,Create a download button that lets the user download the text Hello Streamlit as hello.txt.,import streamlit as st,"import streamlit as st\n\nst.download_button(""Download"", ""Hello Streamlit"", ""hello.txt"")",Use st.download_button().
Status Container,Advanced Components,Hard,"Display a status container labeled Processing.... Inside it, display Loading data... and then update the status to complete.",import streamlit as st\nimport time,"import streamlit as st\nimport time\n\nwith st.status(""Processing..."") as status:\n st.write(""Loading data..."")\n time.sleep(2)\n status.update(label=""Completed"", state=""complete"")",Use status.update().
KPI Dashboard,Advanced Components,Hard,"Create three columns displaying metrics for Sales, Profit, and Customers with values ₹50,000, ₹12,000, and 250 respectively.",import streamlit as st,"import streamlit as st\n\ncol1, col2, col3 = st.columns(3)\n\nwith col1:\n st.metric(""Sales"", ""₹50,000"")\n\nwith col2:\n st.metric(""Profit"", ""₹12,000"")\n\nwith col3:\n st.metric(""Customers"", 250)",Combine st.columns() with st.metric().
Sales Dashboard,Advanced Components,Hard,"Build a dashboard with three metrics (Sales, Orders, Customers), a progress bar showing 75% completion, and a Refresh button that displays a toast notification when clicked.",import streamlit as st,"import streamlit as st\n\ncol1, col2, col3 = st.columns(3)\n\nwith col1:\n st.metric(""Sales"", ""₹80,000"")\n\nwith col2:\n st.metric(""Orders"", 145)\n\nwith col3:\n st.metric(""Customers"", 92)\n\nst.progress(75)\n\nif st.button(""Refresh""):\n st.toast(""Dashboard Refreshed!"")",Combine multiple advanced components into one application.
BMI Calculator,Capstone,Hard,"Build a BMI Calculator. The app should accept weight (kg) and height (m), calculate BMI when the user clicks a button, and display the BMI rounded to two decimal places along with its category (Underweight, Normal, Overweight, or Obese).",import streamlit as st,"import streamlit as st\n\nweight = st.number_input(""Weight (kg)"", min_value=1.0)\nheight = st.number_input(""Height (m)"", min_value=0.1)\n\nif st.button(""Calculate BMI""):\n bmi = weight / (height ** 2)\n st.metric(""BMI"", round(bmi,2))\n\n if bmi < 18.5:\n st.info(""Underweight"")\n elif bmi < 25:\n st.success(""Normal"")\n elif bmi < 30:\n st.warning(""Overweight"")\n else:\n st.error(""Obese"")",Calculate BMI and use conditional statements for the category.
Temperature Converter,Capstone,Hard,"Build an app that converts temperatures between Celsius and Fahrenheit. The user should choose the conversion type, enter a temperature, and display the converted value after clicking a button.",import streamlit as st,"import streamlit as st\n\nconversion = st.selectbox(""Conversion"", [""Celsius to Fahrenheit"",""Fahrenheit to Celsius""])\ntemp = st.number_input(""Temperature"")\n\nif st.button(""Convert""):\n if conversion == ""Celsius to Fahrenheit"":\n st.write(temp * 9 / 5 + 32)\n else:\n st.write((temp - 32) * 5 / 9)",Use a selectbox to choose the conversion.
Password Generator,Capstone,Hard,Build a password generator. Allow the user to choose the password length and generate a random password containing letters and digits.,import streamlit as st,"import streamlit as st\nimport random\nimport string\n\nlength = st.slider(""Password Length"", 6, 30, 12)\n\nif st.button(""Generate""):\n chars = string.ascii_letters + string.digits\n password = """".join(random.choice(chars) for _ in range(length))\n st.code(password)",Use the random and string modules.
To-Do List,Capstone,Hard,Build a To-Do List application using st.session_state. Users should be able to add tasks and view all tasks during the session.,import streamlit as st,"import streamlit as st\n\nif ""tasks"" not in st.session_state:\n st.session_state.tasks = []\n\ntask = st.text_input(""Task"")\n\nif st.button(""Add Task"") and task:\n st.session_state.tasks.append(task)\n\nst.write(st.session_state.tasks)",Store the tasks in session state.
Quiz Application,Capstone,Hard,Build a quiz application containing three multiple-choice questions. Display the user's final score after they click a Submit button.,import streamlit as st,"import streamlit as st\n\nscore = 0\n\nq1 = st.radio(""Python was created by?"", [""Dennis Ritchie"",""Guido van Rossum"",""James Gosling""])\nq2 = st.radio(""2 + 2 = ?"", [""3"",""4"",""5""])\nq3 = st.radio(""HTML stands for?"", [""HyperText Markup Language"",""HighText Machine Language"",""Hyper Transfer Machine Language""])\n\nif st.button(""Submit""):\n if q1 == ""Guido van Rossum"": score += 1\n if q2 == ""4"": score += 1\n if q3 == ""HyperText Markup Language"": score += 1\n st.success(f""Score: {score}/3"")",Use radio buttons and a score variable.
Expense Tracker,Capstone,Hard,"Build an expense tracker. Allow users to enter an expense name and amount, store them in session state, display all expenses, and show the total amount spent.",import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\nif ""expenses"" not in st.session_state:\n st.session_state.expenses = []\n\nname = st.text_input(""Expense"")\namount = st.number_input(""Amount"", min_value=0.0)\n\nif st.button(""Add Expense""):\n st.session_state.expenses.append({""Expense"": name, ""Amount"": amount})\n\nif st.session_state.expenses:\n df = pd.DataFrame(st.session_state.expenses)\n st.dataframe(df)\n st.metric(""Total"", df[""Amount""].sum())",Store dictionaries in a list.
CSV Analyzer,Capstone,Hard,"Build a CSV Analyzer. Allow users to upload a CSV file and display the data, shape, column names, summary statistics, and a line chart of a selected numeric column.",import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\nfile = st.file_uploader(""Upload CSV"", type=""csv"")\n\nif file:\n df = pd.read_csv(file)\n st.dataframe(df)\n st.write(df.shape)\n st.write(df.columns.tolist())\n st.dataframe(df.describe())\n\n column = st.selectbox(""Column"", df.select_dtypes(""number"").columns)\n st.line_chart(df[column])","Combine file upload, pandas, charts and selectbox."
Student Grade Manager,Capstone,Hard,"Build a Student Grade Manager. Allow users to enter student names and marks, store the data in session state, display it in a table, and show the average mark.",import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\nif ""students"" not in st.session_state:\n st.session_state.students = []\n\nname = st.text_input(""Student Name"")\nmarks = st.number_input(""Marks"", 0, 100)\n\nif st.button(""Add Student""):\n st.session_state.students.append({""Name"": name, ""Marks"": marks})\n\nif st.session_state.students:\n df = pd.DataFrame(st.session_state.students)\n st.dataframe(df)\n st.metric(""Average"", round(df[""Marks""].mean(),2))",Use a DataFrame to calculate the average.
Sales Dashboard,Capstone,Hard,"Build a Sales Dashboard showing three KPI metrics, a sales table, a bar chart, and a line chart using the same dataset.",import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\ndf = pd.DataFrame({\n ""Month"":[""Jan"",""Feb"",""Mar"",""Apr""],\n ""Sales"":[100,120,140,160],\n ""Profit"":[20,25,30,40]\n})\n\ncol1,col2,col3 = st.columns(3)\n\nwith col1:\n st.metric(""Sales"", df[""Sales""].sum())\nwith col2:\n st.metric(""Profit"", df[""Profit""].sum())\nwith col3:\n st.metric(""Months"", len(df))\n\nst.dataframe(df)\nst.bar_chart(df.set_index(""Month"")[""Sales""])\nst.line_chart(df.set_index(""Month"")[""Profit""])","Combine metrics, tables and charts."
Personal Finance Dashboard,Capstone,Hard,"Build a dashboard that lets users upload a CSV containing income and expenses. Display the data, total income, total expenses, savings, and a bar chart comparing income and expenses by month.",import streamlit as st\nimport pandas as pd,"import streamlit as st\nimport pandas as pd\n\nfile = st.file_uploader(""Upload CSV"", type=""csv"")\n\nif file:\n df = pd.read_csv(file)\n st.dataframe(df)\n\n st.metric(""Total Income"", df[""Income""].sum())\n st.metric(""Total Expenses"", df[""Expenses""].sum())\n st.metric(""Savings"", df[""Income""].sum() - df[""Expenses""].sum())\n\n chart = df.set_index(""Month"")[[""Income"",""Expenses""]]\n st.bar_chart(chart)","Combine file uploads, metrics, charts, and pandas into one application."
